"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0450","AGYUA","Feldman_MF176","TB_setaria_12_0450","43.41896","-103.55039","Diversity","TB_0450","AGYUA_AGYUA_AGYUA_AGYUA",0.1
"TB_setaria_12_0455","AGYUH","Feldman_MF181","TB_setaria_12_0455","44.1986","-103.352","Diversity","TB_0455","AGYUH_AGYUH_AGYUH_AGYUH",0.55
"TB_setaria_12_0456","AGYUN","Feldman_MF182","TB_setaria_12_0456","44.10248","-102.58799","Diversity","TB_0456","AGYUN_AGYUN_AGYUN_AGYUN",0.25
"TB_setaria_12_0460","AGYUS","Feldman_MF186","TB_setaria_12_0460","43.84993","-101.48285","Diversity","TB_0460","AGYUS_AGYUS_AGYUS_AGYUS",0.7
"TB_setaria_12_0475","XCBB","Huang_KS06_1","TB_setaria_12_0475","39.02866667","-96.79958333","Diversity","TB_0475","XCBB_XCBB_XCBB_XCBB",0.85
"TB_setaria_12_0477","XCBC","Huang_KS08_2","TB_setaria_12_0477","38.8796","-97.66806667","Diversity","TB_0477","XCBC_XCBC_XCBC_XCBC",0.65
"TB_setaria_12_0487","XCAH","Huang_CO01_2","TB_setaria_12_0487","39.2947","-102.4279333","Diversity","TB_0487","XCAH_XCAH_XCAH_XCAH",0.95
"TB_setaria_12_0488","XCAN","Huang_CO02_1","TB_setaria_12_0488","39.28693333","-103.0610833","Diversity","TB_0488","XCAN_XCAN_XCAN_XCAN",0.85
"TB_setaria_12_0490","XCAP","Huang_CO04_4","TB_setaria_12_0490","39.61408333","-104.0412833","Diversity","TB_0490","XCAP_XCAP_XCAP_XCAP",0.45
"TB_setaria_12_0491","XCAS","Huang_CO05_3","TB_setaria_12_0491","39.74061667","-104.6029167","Diversity","TB_0491","XCAS_XCAS_XCAS_XCAS",0.7
"TB_setaria_12_0492","XCAT","Huang_CO06_3","TB_setaria_12_0492","39.7044","-105.2503667","Diversity","TB_0492","XCAT_XCAT_XCAT_XCAT",0.8
